BookingID,BookingReference,BookingDate,CheckInDate,CheckOutDate,HotelID,GuestID,RoomTypeID,ChannelID,RatePlan,BookingStatus,Adults,Children,RoomsBooked,Nights,NightlyRateGBP,DiscountPct,GrossRoomRevenueGBP,DiscountAmountGBP,NetRoomRevenueGBP,ExtrasRevenueGBP,CancellationFeeGBP,ChannelCommissionGBP,BookingValueGBP,NetRevenueAfterCommissionGBP,CorporateAccount,SpecialRequest,CancellationDate,CancellationReason,HotelName,City,Region,HotelSegment,OwnershipModel,MarketRateIndex,BookingChannel,ChannelGroup,StandardCommissionRate,RoomType,BaseRateGBP,GuestCountry,LoyaltyTier,AgeBand,MarketingConsent,LeadTimeDays,ADR_GBP
BKG000001,CS-2504-000001,2025-02-25,2025-03-04,2025-03-07,HTL004,GST00310,RT019,CH06,Bed & Breakfast,Checked Out,2,0,1,3,98.7,0,296.1,0,296.1,93,0,29.61,389.1,359.49,,Near lift,,,Crownstone Calton View,Edinburgh,Scotland,Boutique,Leased,1.16,Travel Agent,Agency,0.1,Standard Double,110.62,United Kingdom,Non-member,25-34,Yes,7,98.7
BKG000002,CS-2501-000002,2025-07-19,2025-08-20,2025-08-25,HTL001,GST00016,RT001,CH03,Flexible,Checked Out,2,0,1,5,172.51,0.1,862.55,86.25,776.3,0,0,116.44,776.3,659.86,,Near lift,,,Crownstone Regent Quay,London,London,City Centre,Owned,1.34,Booking.com,OTA,0.15,Standard Double,127.85,United Kingdom,Gold,25-34,Yes,32,155.26
BKG000003,CS-2605-000003,2026-06-03,2026-07-15,2026-07-16,HTL005,GST00599,RT026,CH06,Advance Purchase,Checked Out,1,0,1,1,97.51,0.05,97.51,4.88,92.63,15.5,0,9.26,108.13,98.87,,Cot required,,,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Travel Agent,Agency,0.1,Standard Twin,93.97,United Kingdom,Silver,25-34,No,42,92.63
BKG000004,CS-2501-000004,2025-02-19,2025-02-24,2025-02-26,HTL001,GST00395,RT001,CH02,Flexible,Cancelled,3,0,1,2,102.32,0,0,0,0,0,0,0,0,0,,Cot required,2025-02-23,No reason provided,Crownstone Regent Quay,London,London,City Centre,Owned,1.34,Direct Phone,Direct,0,Standard Double,127.85,United Kingdom,Platinum,35-44,Yes,5,0.0
BKG000005,CS-2403-000005,2024-09-10,2024-09-20,2024-09-23,HTL003,GST01993,RT017,CH06,Advance Purchase,Checked Out,2,0,2,3,167.1,0.08,1002.6,80.21,922.39,0,0,92.24,922.39,830.15,,Late arrival,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Travel Agent,Agency,0.1,Executive King,145.63,,,,,10,153.73
BKG000006,CS-2405-000006,2024-09-13,2024-09-13,2024-09-16,HTL005,GST01779,RT025,CH07,Flexible,Checked Out,1,0,1,3,110.01,0,330.03,0,330.03,46.5,0,0,376.53,376.53,,,,,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Walk-in,Direct,0,Standard Double,89.19,United Kingdom,Non-member,45-54,Yes,0,110.01
BKG000007,CS-2405-000007,2023-12-10,2024-02-06,2024-02-07,HTL005,GST01641,RT025,CH02,Bed & Breakfast,Checked Out,1,0,1,1,73.47,0,73.47,0,73.47,36.35,0,0,109.82,109.82,,Twin beds requested,,,Crownstone Harbour House,Liverpool,North West,Leisure,Owned,0.96,Direct Phone,Direct,0,Standard Double,89.19,United Kingdom,Gold,65+,Yes,58,73.47
BKG000008,CS-2506-000008,2025-04-29,2025-06-14,2025-06-18,HTL006,GST00066,RT031,CH03,Bed & Breakfast,Checked Out,3,0,1,4,127.24,0,508.96,0,508.96,186,0,76.34,694.96,618.62,,Accessible room,,,Crownstone Clifton Crescent,Bristol,South West,Boutique,Leased,1.04,Booking.com,OTA,0.15,Standard Double,97.71,United Kingdom,Silver,25-34,Yes,46,127.24
BKG000009,CS-2602-000009,2026-05-13,2026-05-14,2026-05-16,HTL002,GST00019,RT007,CH07,Flexible,Checked Out,2,0,1,2,107.7,0,215.4,0,215.4,165.51,0,0,380.91,380.91,,Cot required,,,Crownstone Piccadilly Exchange,Manchester,North West,Business,Leased,1.06,Walk-in,Direct,0,Standard Double,100.82,United Kingdom,Silver,18-24,Yes,1,107.7
BKG000010,CS-2603-000010,2026-01-23,2026-02-13,2026-02-18,HTL003,GST00024,RT013,CH03,Advance Purchase,Checked Out,2,0,1,5,83.52,0.1,417.6,41.76,375.84,155,0,56.38,530.84,474.46,,Cot required,,,Crownstone Temple Row,Birmingham,West Midlands,Business,Owned,0.98,Booking.com,OTA,0.15,Standard Double,89.25,United Kingdom,Gold,65+,Yes,21,75.17
