CostRecordID,HotelID,MonthStart,CostCategory,BudgetGBP,ActualGBP,VarianceGBP
CST000001,HTL001,2024-01-01,Payroll & Agency Staff,51319.92,47790.62,-3529.31
CST000002,HTL001,2024-01-01,Utilities,10638.14,11491.45,853.31
CST000003,HTL001,2024-01-01,Housekeeping Supplies,6608.37,6696.88,88.51
CST000004,HTL001,2024-01-01,Maintenance & Repairs,8104.87,8454.05,349.18
CST000005,HTL001,2024-01-01,Food & Beverage Supplies,16094.99,14743.83,-1351.16
CST000006,HTL001,2024-01-01,Marketing,6001.99,5735.09,-266.9
CST000007,HTL001,2024-01-01,Property & Insurance,18518.92,19338.92,820
CST000008,HTL001,2024-01-01,Technology & Systems,4466.51,4236.14,-230.36
CST000009,HTL001,2024-01-01,Other Operating Costs,11597.42,12510.5,913.08
CST000010,HTL002,2024-01-01,Payroll & Agency Staff,34321.61,35937.3,1615.68
CST000011,HTL002,2024-01-01,Utilities,6649.31,7388.07,738.76
CST000012,HTL002,2024-01-01,Housekeeping Supplies,4431.76,4710.54,278.78
CST000013,HTL002,2024-01-01,Maintenance & Repairs,5500.02,5663.68,163.66
CST000014,HTL002,2024-01-01,Food & Beverage Supplies,10571.77,11139.7,567.93
CST000015,HTL002,2024-01-01,Marketing,4074.93,3711.26,-363.67
CST000016,HTL002,2024-01-01,Property & Insurance,11853.36,11649.43,-203.93
CST000017,HTL002,2024-01-01,Technology & Systems,2811.43,2742.86,-68.57
CST000018,HTL002,2024-01-01,Other Operating Costs,7338.74,7831.98,493.24
CST000019,HTL003,2024-01-01,Payroll & Agency Staff,29600.95,32658.15,3057.2
CST000020,HTL003,2024-01-01,Utilities,5715.31,7062.06,1346.74
CST000021,HTL003,2024-01-01,Housekeeping Supplies,3855.65,3928.62,72.97
CST000022,HTL003,2024-01-01,Maintenance & Repairs,4500.41,5016.22,515.82
CST000023,HTL003,2024-01-01,Food & Beverage Supplies,9155.73,9417.38,261.65
CST000024,HTL003,2024-01-01,Marketing,3527.54,3573.72,46.17
CST000025,HTL003,2024-01-01,Property & Insurance,10407.14,9865.1,-542.04
CST000026,HTL003,2024-01-01,Technology & Systems,2446.47,2469.55,23.09
CST000027,HTL003,2024-01-01,Other Operating Costs,6375.04,6789.73,414.69
CST000028,HTL004,2024-01-01,Payroll & Agency Staff,33711,37078.68,3367.68
CST000029,HTL004,2024-01-01,Utilities,6214.29,6704.52,490.23
CST000030,HTL004,2024-01-01,Housekeeping Supplies,4390.05,4615.54,225.49
CST000031,HTL004,2024-01-01,Maintenance & Repairs,5025.37,4917.54,-107.82
CST000032,HTL004,2024-01-01,Food & Beverage Supplies,10211.42,10350.07,138.65
CST000033,HTL004,2024-01-01,Marketing,3933.26,4228.31,295.05
CST000034,HTL004,2024-01-01,Property & Insurance,11485.84,10743.79,-742.05
CST000035,HTL004,2024-01-01,Technology & Systems,2699.49,2808.96,109.47
CST000036,HTL004,2024-01-01,Other Operating Costs,6893.38,7349.13,455.75
CST000037,HTL005,2024-01-01,Payroll & Agency Staff,23525.74,25514.86,1989.11
CST000038,HTL005,2024-01-01,Utilities,5002.4,6270.64,1268.24
CST000039,HTL005,2024-01-01,Housekeeping Supplies,3274.49,3535.98,261.49
CST000040,HTL005,2024-01-01,Maintenance & Repairs,3756.5,3665.62,-90.89
CST000041,HTL005,2024-01-01,Food & Beverage Supplies,7683.6,7135.7,-547.9
CST000042,HTL005,2024-01-01,Marketing,2942.18,2750.43,-191.75
CST000043,HTL005,2024-01-01,Property & Insurance,8696,9349.6,653.6
CST000044,HTL005,2024-01-01,Technology & Systems,2016.44,1858.53,-157.91
CST000045,HTL005,2024-01-01,Other Operating Costs,5541.48,5606.55,65.07
CST000046,HTL006,2024-01-01,Payroll & Agency Staff,24761.23,26237.49,1476.26
CST000047,HTL006,2024-01-01,Utilities,4923.44,6256.72,1333.28
CST000048,HTL006,2024-01-01,Housekeeping Supplies,3341.72,3479.99,138.27
CST000049,HTL006,2024-01-01,Maintenance & Repairs,3817.84,6070.66,2252.82
CST000050,HTL006,2024-01-01,Food & Beverage Supplies,7844.95,8466.21,621.26
CST000051,HTL006,2024-01-01,Marketing,2994.85,3169.33,174.48
CST000052,HTL006,2024-01-01,Property & Insurance,8875.1,9888.71,1013.62
CST000053,HTL006,2024-01-01,Technology & Systems,2029.61,2076.58,46.96
CST000054,HTL006,2024-01-01,Other Operating Costs,5310.33,5510.72,200.39
CST000055,HTL001,2024-02-01,Payroll & Agency Staff,54453.89,53341.41,-1112.48
CST000056,HTL001,2024-02-01,Utilities,10483.85,11013.22,529.36
CST000057,HTL001,2024-02-01,Housekeeping Supplies,7104.68,7462.92,358.24
CST000058,HTL001,2024-02-01,Maintenance & Repairs,8714.33,8924.4,210.07
CST000059,HTL001,2024-02-01,Food & Beverage Supplies,17684.98,16756.47,-928.51
CST000060,HTL001,2024-02-01,Marketing,6356.11,6008.39,-347.72
CST000061,HTL001,2024-02-01,Property & Insurance,19802.51,21558.65,1756.14
CST000062,HTL001,2024-02-01,Technology & Systems,4401.91,4201.24,-200.66
CST000063,HTL001,2024-02-01,Other Operating Costs,11579.74,12649.5,1069.76
CST000064,HTL002,2024-02-01,Payroll & Agency Staff,36097.65,35222.3,-875.35
CST000065,HTL002,2024-02-01,Utilities,7160.62,7512.58,351.96
CST000066,HTL002,2024-02-01,Housekeeping Supplies,4787.35,4371.47,-415.87
CST000067,HTL002,2024-02-01,Maintenance & Repairs,5523.71,6034.82,511.12
CST000068,HTL002,2024-02-01,Food & Beverage Supplies,11308.9,12069.73,760.84
CST000069,HTL002,2024-02-01,Marketing,4280.35,4610.34,329.98
CST000070,HTL002,2024-02-01,Property & Insurance,12521.04,12307.82,-213.22
CST000071,HTL002,2024-02-01,Technology & Systems,2960.8,2790.06,-170.74
CST000072,HTL002,2024-02-01,Other Operating Costs,7753.87,8614.79,860.92
CST000073,HTL003,2024-02-01,Payroll & Agency Staff,29387.6,28315.96,-1071.64
CST000074,HTL003,2024-02-01,Utilities,5814.57,7050.88,1236.3
CST000075,HTL003,2024-02-01,Housekeeping Supplies,4032.94,4021.91,-11.03
CST000076,HTL003,2024-02-01,Maintenance & Repairs,4884.87,4702.7,-182.17
CST000077,HTL003,2024-02-01,Food & Beverage Supplies,9091.75,8961.11,-130.65
CST000078,HTL003,2024-02-01,Marketing,3551.03,3262.33,-288.71
CST000079,HTL003,2024-02-01,Property & Insurance,11045.94,10285.78,-760.16
CST000080,HTL003,2024-02-01,Technology & Systems,2578.46,2617.91,39.45
CST000081,HTL003,2024-02-01,Other Operating Costs,6464.49,6570.18,105.69
CST000082,HTL004,2024-02-01,Payroll & Agency Staff,35014.44,35098.76,84.32
CST000083,HTL004,2024-02-01,Utilities,6486.71,7070.98,584.27
CST000084,HTL004,2024-02-01,Housekeeping Supplies,4475.81,4351.79,-124.03
CST000085,HTL004,2024-02-01,Maintenance & Repairs,5304.85,5506.64,201.79
CST000086,HTL004,2024-02-01,Food & Beverage Supplies,10618.54,10265.65,-352.89
CST000087,HTL004,2024-02-01,Marketing,4095.95,4050.82,-45.13
CST000088,HTL004,2024-02-01,Property & Insurance,12164.24,12140.7,-23.54
CST000089,HTL004,2024-02-01,Technology & Systems,2819.92,2605.33,-214.59
CST000090,HTL004,2024-02-01,Other Operating Costs,7153.42,6978.6,-174.82
CST000091,HTL005,2024-02-01,Payroll & Agency Staff,25033.68,22902.9,-2130.78
CST000092,HTL005,2024-02-01,Utilities,4818.18,5389.02,570.84
CST000093,HTL005,2024-02-01,Housekeeping Supplies,3417.92,3496.46,78.54
CST000094,HTL005,2024-02-01,Maintenance & Repairs,3855.85,4019.79,163.95
CST000095,HTL005,2024-02-01,Food & Beverage Supplies,7797.86,7281.69,-516.16
CST000096,HTL005,2024-02-01,Marketing,2927.5,2841.19,-86.31
CST000097,HTL005,2024-02-01,Property & Insurance,8656.3,9139.19,482.9
CST000098,HTL005,2024-02-01,Technology & Systems,2067.85,2097.46,29.61
