PaymentID,BookingID,PaymentDate,PaymentMethod,AmountGBP,PaymentStatus,ProcessingFeeGBP,Currency,PaymentSource
PAY0000001,BKG000001,2025-03-02,Mastercard,389.1,Captured,7,GBP,Payment Gateway
PAY0000002,BKG000002,2025-08-20,Visa,776.3,Captured,13.97,GBP,Payment Gateway
PAY0000003,BKG000003,2026-07-13,Mastercard,108.13,Captured,1.3,GBP,Payment Gateway
PAY0000004,BKG000005,2024-09-20,Google Pay,922.39,Captured,14.76,GBP,Payment Gateway
PAY0000005,BKG000006,2024-09-13,Apple Pay,376.53,Captured,4.52,GBP,Payment Gateway
PAY0000006,BKG000007,2024-02-05,Cash,109.82,Captured,0,GBP,Front Desk/PMS
PAY0000007,BKG000008,2025-06-12,Mastercard,694.96,Captured,8.34,GBP,Payment Gateway
PAY0000008,BKG000009,2026-05-13,Cash,380.91,Captured,0,GBP,Front Desk/PMS
PAY0000009,BKG000010,2026-02-12,Bank Transfer,530.84,Captured,0,GBP,Payment Gateway
PAY0000010,BKG000011,2024-12-11,Apple Pay,330.65,Captured,5.29,GBP,Payment Gateway
PAY0000011,BKG000012,2025-03-21,Visa,296.07,Captured,5.33,GBP,Payment Gateway
PAY0000012,BKG000013,2026-02-02,Visa,98.85,Captured,1.78,GBP,Payment Gateway
PAY0000013,BKG000014,2024-08-07,Mastercard,77.23,Captured,1.39,GBP,Payment Gateway
PAY0000014,BKG000014,2024-09-06,Visa,231.7,Captured,3.24,GBP,Payment Gateway
PAY0000015,BKG000015,2024-04-11,American Express,263.38,Captured,4.21,GBP,Payment Gateway
PAY0000016,BKG000016,2025-02-01,Mastercard,182.63,Captured,2.19,GBP,Payment Gateway
PAY0000017,BKG000017,2024-12-11,Visa,618.64,Captured,11.14,GBP,Payment Gateway
PAY0000018,BKG000018,2025-09-10,Bank Transfer,637,Captured,0,GBP,Payment Gateway
PAY0000019,BKG000019,2026-01-17,Visa,293.28,Captured,5.28,GBP,Payment Gateway
PAY0000020,BKG000020,2024-07-22,Mastercard,242.12,Captured,3.87,GBP,Payment Gateway
PAY0000021,BKG000021,2025-11-30,Visa,310.46,Captured,4.97,GBP,Payment Gateway
PAY0000022,BKG000022,2026-08-20,Mastercard,161.79,Captured,2.59,GBP,Payment Gateway
PAY0000023,BKG000023,2024-12-15,Google Pay,175.06,Captured,2.45,GBP,Payment Gateway
PAY0000024,BKG000023,2025-01-04,Mastercard,525.19,Captured,6.3,GBP,Payment Gateway
PAY0000025,BKG000024,2025-11-14,Visa,122.52,Captured,1.72,GBP,Payment Gateway
PAY0000026,BKG000025,2025-12-02,Apple Pay,307.7,Captured,3.69,GBP,Payment Gateway
PAY0000027,BKG000025,2025-12-27,Mastercard,923.11,Captured,16.62,GBP,Payment Gateway
PAY0000028,BKG000026,2026-02-27,Apple Pay,285.24,Captured,3.42,GBP,Payment Gateway
PAY0000029,BKG000027,2024-11-13,Apple Pay,716.4,Captured,8.6,GBP,Payment Gateway
PAY0000030,BKG000028,2025-01-10,Google Pay,388.6,Captured,4.66,GBP,Payment Gateway
PAY0000031,BKG000028,2025-04-02,Mastercard,1165.79,Captured,13.99,GBP,Payment Gateway
PAY0000032,BKG000029,2024-11-22,Bank Transfer,862.11,Captured,0,GBP,Payment Gateway
PAY0000033,BKG000030,2026-03-26,Bank Transfer,570.36,Captured,0,GBP,Payment Gateway
PAY0000034,BKG000031,2025-06-13,Visa,430.06,Captured,5.16,GBP,Payment Gateway
PAY0000035,BKG000032,2024-04-04,Visa,882.19,Captured,10.59,GBP,Payment Gateway
PAY0000036,BKG000034,2026-08-16,Visa,2502.58,Captured,45.05,GBP,Payment Gateway
PAY0000037,BKG000035,2025-12-30,Mastercard,1438.2,Captured,25.89,GBP,Payment Gateway
PAY0000038,BKG000036,2024-02-06,Visa,846.1,Captured,11.85,GBP,Payment Gateway
PAY0000039,BKG000037,2024-01-10,Visa,1123.4,Captured,15.73,GBP,Payment Gateway
PAY0000040,BKG000038,2025-02-16,Visa,105.9,Captured,1.69,GBP,Payment Gateway
PAY0000041,BKG000039,2024-06-26,Visa,164.36,Captured,2.3,GBP,Payment Gateway
PAY0000042,BKG000041,2025-05-31,Google Pay,301.36,Captured,4.82,GBP,Payment Gateway
PAY0000043,BKG000043,2025-08-24,Apple Pay,105.85,Captured,1.69,GBP,Payment Gateway
PAY0000044,BKG000043,2025-09-04,Visa,317.54,Captured,4.45,GBP,Payment Gateway
PAY0000045,BKG000044,2025-06-22,Mastercard,233.5,Captured,4.2,GBP,Payment Gateway
PAY0000046,BKG000045,2024-06-23,Apple Pay,425.07,Captured,5.95,GBP,Payment Gateway
PAY0000047,BKG000046,2025-02-28,Visa,98.59,Captured,1.18,GBP,Payment Gateway
PAY0000048,BKG000047,2025-07-28,Bank Transfer,211.24,Captured,0,GBP,Payment Gateway
PAY0000049,BKG000049,2025-09-20,Bank Transfer,898.65,Captured,0,GBP,Payment Gateway
PAY0000050,BKG000050,2025-06-05,Mastercard,180.02,Captured,2.16,GBP,Payment Gateway
PAY0000051,BKG000051,2026-05-05,Apple Pay,92.04,Captured,1.66,GBP,Payment Gateway
PAY0000052,BKG000051,2026-08-08,Cash,276.12,Captured,0,GBP,Front Desk/PMS
PAY0000053,BKG000052,2026-08-06,Bank Transfer,507.16,Captured,0,GBP,Payment Gateway
PAY0000054,BKG000053,2025-07-12,American Express,1555.12,Captured,27.99,GBP,Payment Gateway
PAY0000055,BKG000054,2024-07-17,Mastercard,123.26,Captured,2.22,GBP,Payment Gateway
PAY0000056,BKG000055,2026-05-18,Mastercard,679.94,Captured,9.52,GBP,Payment Gateway
PAY0000057,BKG000056,2024-06-12,Mastercard,710.4,Captured,11.37,GBP,Payment Gateway
PAY0000058,BKG000057,2025-08-24,Apple Pay,114.11,Captured,1.6,GBP,Payment Gateway
PAY0000059,BKG000057,2025-09-10,Visa,342.33,Captured,5.48,GBP,Payment Gateway
PAY0000060,BKG000058,2026-04-23,Visa,142.67,Captured,2.28,GBP,Payment Gateway
PAY0000061,BKG000059,2026-08-16,Visa,463.32,Captured,5.56,GBP,Payment Gateway
PAY0000062,BKG000060,2026-08-05,American Express,583.62,Captured,7,GBP,Payment Gateway
PAY0000063,BKG000061,2026-08-18,Visa,605,Captured,9.68,GBP,Payment Gateway
PAY0000064,BKG000062,2025-10-01,Apple Pay,313.37,Captured,5.64,GBP,Payment Gateway
PAY0000065,BKG000063,2025-12-08,Mastercard,235.11,Captured,2.82,GBP,Payment Gateway
PAY0000066,BKG000064,2025-04-12,Visa,175.12,Captured,2.1,GBP,Payment Gateway
PAY0000067,BKG000065,2024-12-06,Bank Transfer,336.26,Captured,0,GBP,Payment Gateway
PAY0000068,BKG000066,2024-10-11,Visa,605.7,Captured,10.9,GBP,Payment Gateway
PAY0000069,BKG000067,2025-01-01,Visa,66.52,Captured,1.2,GBP,Payment Gateway
PAY0000070,BKG000067,2025-01-06,Mastercard,199.55,Captured,3.19,GBP,Payment Gateway
PAY0000071,BKG000069,2026-01-29,Bank Transfer,92.51,Captured,0,GBP,Payment Gateway
PAY0000072,BKG000070,2024-05-24,Visa,805.6,Captured,9.67,GBP,Payment Gateway
PAY0000073,BKG000071,2025-05-11,Visa,621.04,Captured,8.69,GBP,Payment Gateway
PAY0000074,BKG000072,2024-03-14,Visa,525.8,Captured,8.41,GBP,Payment Gateway
PAY0000075,BKG000073,2025-12-04,Mastercard,137.51,Captured,2.48,GBP,Payment Gateway
