ReviewID,BookingID,HotelID,GuestID,ReviewDate,ReviewSource,OverallScore,CleanlinessScore,ServiceScore,LocationScore,ValueScore,ReviewTitle,ManagementResponseSent
REV000001,BKG000009,HTL002,GST00019,2026-06-01,Google,4.9,5,5,4.7,4.7,Would stay again,Yes
REV000002,BKG000010,HTL003,GST00024,2026-02-19,Booking.com,3.2,3.4,3.8,3,2.8,Solid city break,Yes
REV000003,BKG000011,HTL003,GST01120,2024-12-29,Tripadvisor,4.3,4.6,3.8,4.2,4.4,Would stay again,Yes
REV000004,BKG000013,HTL003,GST00363,2026-02-18,Booking.com,4,3.8,3.8,4,3.5,Comfortable stay,Yes
REV000005,BKG000014,HTL001,GST01777,2024-09-11,Tripadvisor,4.8,5,4.7,4.9,4.7,Great stay,Yes
REV000006,BKG000015,HTL006,GST01416,2024-04-17,Tripadvisor,4,4,3.6,4.1,4.1,Good overall,Yes
REV000007,BKG000023,HTL001,GST00019,2025-01-16,Expedia,5,4.9,5,4.5,4.7,Great stay,Yes
REV000008,BKG000029,HTL004,GST00472,2024-12-10,Booking.com,3.4,3.4,3.4,3.4,3.8,Convenient hotel,Yes
REV000009,BKG000030,HTL003,GST00415,2026-04-11,Google,4.3,4.1,3.9,4.1,3.8,Would stay again,Yes
REV000010,BKG000032,HTL004,GST00176,2024-04-24,Post-stay Survey,4.2,4.1,4.1,4.3,3.8,Would stay again,Yes
REV000011,BKG000035,HTL005,GST00048,2026-01-08,Google,4,4.3,4.2,4.2,3.5,Mostly positive,Yes
REV000012,BKG000039,HTL003,GST01312,2024-07-07,Post-stay Survey,4,4.9,4.1,3.7,4.4,Mostly positive,No
REV000013,BKG000045,HTL002,GST00954,2024-07-08,Booking.com,3.8,3.5,3.6,3.3,3.4,Mostly positive,No
REV000014,BKG000051,HTL003,GST00597,2026-08-25,Tripadvisor,3.1,3.5,3.3,2.7,2.8,Disappointing stay,Yes
REV000015,BKG000053,HTL004,GST01782,2025-07-31,Expedia,4.4,5,5,4.9,4.7,Lovely weekend,No
REV000016,BKG000057,HTL005,GST00743,2025-09-26,Post-stay Survey,4,4.3,4.2,3.9,3.8,Convenient hotel,Yes
REV000017,BKG000058,HTL005,GST00701,2026-04-25,Expedia,3,3.1,3.2,3,2.6,Could be better,Yes
REV000018,BKG000060,HTL003,GST00460,2026-08-16,Tripadvisor,5,5,4.8,4.9,3.9,Good business stay,Yes
REV000019,BKG000065,HTL002,GST00012,2024-12-24,Booking.com,4.2,3.8,4.5,5,3.5,Good business stay,Yes
REV000020,BKG000066,HTL005,GST01510,2024-10-24,Tripadvisor,5,5,5,4.5,4.4,Excellent location,No
REV000021,BKG000069,HTL002,GST01672,2026-02-10,Post-stay Survey,4.4,4.8,3.5,4.6,4.5,Very comfortable,No
REV000022,BKG000070,HTL002,GST01479,2024-06-10,Booking.com,4.1,4.8,4,4.2,3.5,Comfortable stay,Yes
REV000023,BKG000076,HTL005,GST00721,2024-06-15,Google,3.7,4,3.2,4.4,3.2,Comfortable stay,Yes
REV000024,BKG000086,HTL001,GST01491,2024-09-19,Expedia,4.5,5,3.9,4.6,4.6,Very comfortable,Yes
REV000025,BKG000087,HTL003,GST01761,2026-09-06,Post-stay Survey,3.6,3.4,3.2,3.5,3.6,Good overall,No
REV000026,BKG000090,HTL001,GST00002,2025-07-31,Google,4.5,4.8,5,5,4.3,Would stay again,Yes
REV000027,BKG000095,HTL002,GST01702,2024-11-06,Tripadvisor,3.6,3.2,3.5,3.9,3.7,Convenient hotel,Yes
REV000028,BKG000099,HTL006,GST00165,2024-11-27,Tripadvisor,4.3,4.7,4.3,4.1,4.2,Would stay again,Yes
REV000029,BKG000100,HTL001,GST01746,2024-12-28,Post-stay Survey,3.7,4.5,3.8,3.1,3.8,Solid city break,Yes
REV000030,BKG000101,HTL006,GST01253,2024-02-17,Post-stay Survey,4.6,4.4,4.6,4.7,4.5,Good business stay,Yes
REV000031,BKG000104,HTL004,GST01497,2025-12-14,Tripadvisor,4.2,4,5,3.6,4.6,Excellent location,No
REV000032,BKG000106,HTL003,GST00716,2024-07-24,Post-stay Survey,4.3,4.5,4.2,3.9,3.7,Good business stay,Yes
REV000033,BKG000108,HTL005,GST00622,2025-03-09,Tripadvisor,4.4,4.7,4.5,4.5,4.4,Very comfortable,Yes
REV000034,BKG000110,HTL002,GST01124,2024-10-10,Expedia,4.2,4.1,4.6,4.7,4.1,Very comfortable,Yes
REV000035,BKG000113,HTL003,GST00154,2025-05-17,Expedia,3.4,4,3.6,3.2,3.5,Mostly positive,Yes
REV000036,BKG000116,HTL004,GST01628,2024-09-13,Booking.com,4.3,4.3,4.3,4.2,4.7,Friendly team,Yes
REV000037,BKG000127,HTL002,GST00451,2024-09-05,Booking.com,4.1,4.3,4.9,4.5,3.8,Convenient hotel,Yes
REV000038,BKG000128,HTL001,GST00222,2025-09-14,Expedia,3.8,3.8,4.2,4.7,4.2,Fine for a short stay,Yes
REV000039,BKG000129,HTL002,GST00610,2024-08-15,Tripadvisor,4,4.3,3.7,3.9,3.9,Mostly positive,Yes
REV000040,BKG000131,HTL005,GST00034,2026-06-30,Expedia,4.4,4.5,5,4.1,4.3,Friendly team,Yes
REV000041,BKG000133,HTL005,GST01218,2024-07-15,Booking.com,3.5,3.1,3.3,3.3,3.3,Solid city break,Yes
