RoomTypeID,HotelID,RoomType,MaxOccupancy,RoomCount,BaseRateGBP,ExecutiveLoungeAccess
RT001,HTL001,Standard Double,2,14,127.85,No
RT002,HTL001,Standard Twin,2,10,126.62,No
RT003,HTL001,Superior King,2,13,158.01,No
RT004,HTL001,Family Room,4,7,181.97,No
RT005,HTL001,Executive King,2,9,200.4,Yes
RT006,HTL001,Junior Suite,3,5,254.97,Yes
RT007,HTL002,Standard Double,2,12,100.82,No
RT008,HTL002,Standard Twin,2,9,100.55,No
RT009,HTL002,Superior King,2,10,124.34,No
RT010,HTL002,Family Room,4,7,146.88,No
RT011,HTL002,Executive King,2,7,164.22,Yes
RT012,HTL002,Junior Suite,3,3,195.32,Yes
RT013,HTL003,Standard Double,2,11,89.25,No
RT014,HTL003,Standard Twin,2,8,97.69,No
RT015,HTL003,Superior King,2,10,112.37,No
RT016,HTL003,Family Room,4,6,137.15,No
RT017,HTL003,Executive King,2,6,145.63,Yes
RT018,HTL003,Junior Suite,3,3,188.19,Yes
RT019,HTL004,Standard Double,2,10,110.62,No
RT020,HTL004,Standard Twin,2,7,115.57,No
RT021,HTL004,Superior King,2,10,138.06,No
RT022,HTL004,Family Room,4,6,157.44,No
RT023,HTL004,Executive King,2,5,177.9,Yes
RT024,HTL004,Junior Suite,3,4,215.58,Yes
RT025,HTL005,Standard Double,2,10,89.19,No
RT026,HTL005,Standard Twin,2,7,93.97,No
RT027,HTL005,Superior King,2,8,115.67,No
RT028,HTL005,Family Room,4,6,130.98,No
RT029,HTL005,Executive King,2,4,141.81,Yes
RT030,HTL005,Junior Suite,3,3,182.34,Yes
RT031,HTL006,Standard Double,2,9,97.71,No
RT032,HTL006,Standard Twin,2,7,101.45,No
RT033,HTL006,Superior King,2,8,123.95,No
RT034,HTL006,Family Room,4,5,136.19,No
RT035,HTL006,Executive King,2,4,160.45,Yes
RT036,HTL006,Junior Suite,3,3,199.35,Yes
